f_timestamp,f_id,cluster_data,heading,status
2025-03-14 11:56:51.623,11,"[[430,663,142], [430,663,142], [430,663,142], [429,664,142], [429,665,142], [429,666,142], [428,667,142], [428,667,142], [427,668,142], [427,669,142], [426,670,142], [426,672,142], [425,673,142], [425,674,142], ]",185,"DRIVING"
2025-03-14 11:56:51.668,12,"[[356,626,50], [357,627,50], [356,627,50], [356,628,50], [355,629,50], [355,629,50], [355,631,50], [355,632,50], [353,631,141], ]",194,"DRIVING"
2025-03-14 11:56:51.744,13,"[[364,483,151], [364,483,151], [364,483,151], [364,484,151], [364,486,151], [363,486,151], [362,487,151], [362,489,151], ]",185,"DRIVING"
2025-03-14 11:56:51.746,14,"[[356,566,141], [356,568,141], [355,569,141], [356,568,151], [356,567,139], ]",242,"DRIVING"
2025-03-14 11:56:51.786,15,"[[421,425,140], ]",187,"DRIVING"
2025-03-14 11:56:51.824,16,"[[377,455,139], [377,456,139], [377,458,139], [377,458,139], [377,460,139], [377,461,139], [377,463,139], ]",184,"DRIVING"
2025-03-14 11:56:51.827,17,"[[420,429,140], [421,428,140], [420,431,140], [420,431,140], ]",184,"DRIVING"
2025-03-14 11:56:51.867,18,"[[356,571,141], [356,573,141], [357,574,141], [356,575,141], [356,577,141], [356,578,141], [356,579,141], [356,573,151], [356,579,151], [356,574,139], [356,579,139], ]",262,"DRIVING"
2025-03-14 11:56:51.905,19,"[[430,774,200], [430,774,200], ]",184,"DRIVING"
2025-03-14 11:56:51.981,20,"[[352,691,145], [352,692,145], [352,693,145], [352,695,145], [351,696,145], [351,698,145], [350,692,140], ]",133,"DRIVING"
2025-03-14 11:56:51.982,21,"[[430,777,200], [431,777,142], ]",247,"DRIVING"
2025-03-14 11:56:51.983,22,"[[421,434,140], [420,435,140], ]",184,"DRIVING"
2025-03-14 11:56:51.984,23,"[[355,635,50], [355,635,50], [355,637,50], [355,639,50], [355,641,50], [354,642,50], ]",185,"DRIVING"
2025-03-14 11:56:52.025,24,"[[429,779,200], [429,781,200], [429,783,200], [429,785,200], ]",184,"DRIVING"
2025-03-14 11:56:52.060,25,"[[363,492,151], ]",183,"DRIVING"
2025-03-14 11:56:52.061,26,"[[420,439,140], [420,439,140], ]",184,"DRIVING"
2025-03-14 11:56:52.094,27,"[[378,465,139], ]",183,"DRIVING"
2025-03-14 11:56:52.095,28,"[[362,494,151], [362,496,151], [361,497,151], ]",184,"DRIVING"
2025-03-14 11:56:52.138,29,"[[377,468,139], [377,470,139], ]",184,"DRIVING"
2025-03-14 11:56:52.140,30,"[[419,442,140], [419,444,140], ]",184,"DRIVING"
2025-03-14 11:56:52.175,31,"[[357,583,141], [356,583,141], [356,585,141], [355,584,151], ]",220,"DRIVING"
2025-03-14 11:56:52.178,32,"[[424,676,142], [424,677,142], [424,678,142], [424,680,142], [423,681,142], [422,682,142], ]",186,"DRIVING"
2025-03-14 11:56:52.179,33,"[[429,788,200], [429,790,200], [429,792,200], [429,793,200], ]",186,"DRIVING"
2025-03-14 11:56:52.214,34,"[[404,780,52], [404,782,52], [404,783,52], [404,784,52], [403,785,52], [403,786,52], [403,787,52], [402,788,52], [402,790,52], [402,791,52], [401,791,52], [401,793,52], [400,794,52], [399,795,52], [399,796,52], [398,797,52], [398,798,52], [397,799,52], [397,801,52], ]",214,"DRIVING"
2025-03-14 11:56:52.215,35,"[[376,473,139], ]",185,"DRIVING"
2025-03-14 11:56:52.216,36,"[[350,700,145], ]",185,"DRIVING"
2025-03-14 11:56:52.216,37,"[[362,500,151], [362,502,151], [362,504,151], [361,505,151], ]",186,"DRIVING"
2025-03-14 11:56:52.218,38,"[[419,447,140], [419,447,140], ]",186,"DRIVING"
2025-03-14 11:56:52.257,39,"[[375,476,139], [376,477,139], [376,478,139], ]",186,"DRIVING"
2025-03-14 11:56:52.258,40,"[[350,703,145], [350,705,145], ]",186,"DRIVING"
2025-03-14 11:56:52.294,41,"[[355,587,141], [355,589,141], [355,591,151], ]",227,"DRIVING"
2025-03-14 11:56:52.294,42,"[[355,647,50], ]",185,"DRIVING"
2025-03-14 11:56:52.297,43,"[[418,450,140], ]",185,"DRIVING"
2025-03-14 11:56:52.337,44,"[[355,650,50], [355,652,50], ]",186,"DRIVING"
2025-03-14 11:56:52.340,45,"[[349,707,145], ]",185,"DRIVING"
2025-03-14 11:56:52.341,46,"[[418,453,140], [418,454,140], [419,455,140], ]",186,"DRIVING"
2025-03-14 11:56:52.342,47,"[[431,799,200], ]",185,"DRIVING"
2025-03-14 11:56:52.376,48,"[[356,592,141], [356,594,141], [356,596,141], [355,597,141], [354,598,140], [356,596,140], ]",210,"DRIVING"
2025-03-14 11:56:52.378,49,"[[375,481,139], ]",185,"DRIVING"
2025-03-14 11:56:52.378,50,"[[348,709,145], [348,711,145], ]",186,"DRIVING"
2025-03-14 11:56:52.379,51,"[[362,509,151], [362,510,151], [362,510,151], [362,512,151], ]",186,"DRIVING"
2025-03-14 11:56:52.380,52,"[[431,802,200], [431,804,200], ]",186,"DRIVING"
2025-03-14 11:56:52.417,53,"[[355,655,50], [354,656,50], ]",186,"DRIVING"
